"date";"title";"duration";"file_url"
"2011-06-25";"Vive les vacances ! en compagnie de Marcel Pagnol";"2858";"https://cdn.radiofrance.fr/s3/cruiser-production/static/inter/sons/2011/07/s27/extract-inter-mp3.mp3"
"2011-07-04";"La rentrée des classes : les écrivains à l'école";"2913";"https://cdn.radiofrance.fr/s3/cruiser-production/static/inter/sons/2011/07/s27/NET_723bc66d-e713-48b3-9b5a-edf833d2281e.mp3"
"2011-07-05";"L'amitié selon Montaigne et La Boétie";"2968";"https://cdn.radiofrance.fr/s3/cruiser-production/static/inter/sons/2011/07/s27/NET_28d331ab-92b4-467b-8248-992bf35c1f9a.mp3"
"2011-07-06";"Albert Camus";"2972";"https://cdn.radiofrance.fr/s3/cruiser-production/static/inter/sons/2011/07/s27/NET_2f8a9ed7-086a-40ee-9d75-b184f9e5f99a.mp3"
"2011-07-07";"Albert Camus (suite)";"2884";"https://cdn.radiofrance.fr/s3/cruiser-production/static/inter/sons/2011/07/s27/NET_c32318bf-3edc-4f91-95ee-6220c41bbfe4.mp3"
"2011-07-08";"Agatha Christie ' la reine du crime'";"3033";"https://cdn.radiofrance.fr/s3/cruiser-production/static/inter/sons/2011/07/s27/NET_3694b04b-8b85-499c-a16e-37683961254b.mp3"
"2011-07-11";"Le Festival d'automne à Paris";"2924";"https://cdn.radiofrance.fr/s3/cruiser-production/static/inter/sons/2011/07/s28/NET_db12cfa9-87f9-4a70-b749-1ea3e1452c84.mp3"
"2011-07-12";"Le rire";"3025";"https://cdn.radiofrance.fr/s3/cruiser-production/static/inter/sons/2011/07/s28/NET_3a811afa-530e-4fb7-b29f-6c6bf5768d48.mp3"
"2011-07-13";"Valère Novarina, en présence de l'auteur";"3188";"https://cdn.radiofrance.fr/s3/cruiser-production/static/inter/sons/2011/07/s28/NET_63dec24f-d1ab-4c59-96cc-e7b49e56963b.mp3"
"2011-07-14";"Les best-seller français";"2994";"https://cdn.radiofrance.fr/s3/cruiser-production/static/inter/sons/2011/07/s28/NET_59a802cb-72f2-4d7f-a876-948030d61aff.mp3"
