"date";"title";"duration";"file_url"
"2022-06-18";"""Les Contes du whisky"" de Jean Ray (partie 1)";3492;"https://media.radiofrance-podcast.net/podcast09/13024-18.06.2022-ITEMA_23063101-2022C3067E0005-21.mp3"
"2022-06-11";"""Notre Dame de Paris"" de Victor Hugo";3419;"https://media.radiofrance-podcast.net/podcast09/11496-11.06.2022-ITEMA_23055747-2022C3067E0016-21.mp3"
"2022-06-04";"""Soudain Romy Schneider"" de Guillaume Poix";3464;"https://media.radiofrance-podcast.net/podcast09/13023-04.06.2022-ITEMA_23048382-2022C3067E0017-21.mp3"
"2022-05-28";"Le Père truqué et Ne pas se fier à la couverture";3456;"https://media.radiofrance-podcast.net/podcast09/21813-28.05.2022-ITEMA_23040981-2022C3067E0010-21.mp3"
"2022-05-21";"Ah, être un Gélate...";3427;"https://media.radiofrance-podcast.net/podcast09/21813-21.05.2022-ITEMA_23033655-2022C3067E0011-21.mp3"
"2022-05-14";"La Fourmi électrique";3452;"https://media.radiofrance-podcast.net/podcast09/13026-14.05.2022-ITEMA_23026179-2022C3067E0009-21.mp3"
"2022-05-07";"Rapport Minoritaire (2ème partie)";3221;"https://media.radiofrance-podcast.net/podcast09/21813-07.05.2022-ITEMA_23018743-2021C3067E0160-21.mp3"
"2022-04-30";"Rapport minoritaire (1ère partie)";2936;"https://media.radiofrance-podcast.net/podcast09/13023-01.05.2022-ITEMA_23012114-2021C3067E0159-21.mp3"
"2022-04-23";"Le Soleil des mourants de Jean-Claude Izzo";3480;"https://media.radiofrance-podcast.net/podcast09/13026-23.04.2022-ITEMA_23004427-2017C3067E0128-21.mp3"
"2022-04-16";"""Nos conversations du mercredi"" de Arrigo Lessana";3419;"https://media.radiofrance-podcast.net/podcast09/13026-16.04.2022-ITEMA_22997393-2022C3067E0015-21.mp3"
"2022-04-09";"""Passion simple"" de Annie Ernaux";3451;"https://media.radiofrance-podcast.net/podcast09/13023-09.04.2022-ITEMA_22990194-2022C3067E0013-21.mp3"
"2022-04-02";"""L'évènement"" de Annie Ernaux";3139;"https://media.radiofrance-podcast.net/podcast09/21813-02.04.2022-ITEMA_22982995-2022C3067E0012-21.mp3"
"2022-03-26";"Mensonges blues et Le nouveau tigre";3451;"https://media.radiofrance-podcast.net/podcast09/21813-26.03.2022-ITEMA_22975629-2022C3067E0014-21.mp3"
"2022-03-19";"La bête immonde";3470;"https://media.radiofrance-podcast.net/podcast09/13023-17.03.2022-ITEMA_22965011-2021C3067E0163-21.mp3"
"2022-03-12";"L'écho des ténèbres";3387;"https://media.radiofrance-podcast.net/podcast09/13023-17.03.2022-ITEMA_22965011-2021C3067E0162-21.mp3"
"2022-03-05";"De l'autre côté de l'enfer";3541;"https://media.radiofrance-podcast.net/podcast09/13023-17.03.2022-ITEMA_22965011-2022C3067E0008-21.mp3"
"2022-02-26";"Les mémoires de Maigret de Georges Simenon";3493;"https://media.radiofrance-podcast.net/podcast09/13024-02.06.2018-ITEMA_21699189-6.mp3"
"2022-02-19";"""Révérends pères"" de Jean-Marc Turine";3451;"https://media.radiofrance-podcast.net/podcast09/13026-19.02.2022-ITEMA_22938184-2022C3067E0007-21.mp3"
"2022-02-12";"""Sir Edmund Orne"" de  Henry James";3449;"https://media.radiofrance-podcast.net/podcast09/13026-12.02.2022-ITEMA_22931099-2022C3067E0004-21.mp3"
"2022-02-05";"""Le Tour d’écrou"" de Henry James";3468;"https://media.radiofrance-podcast.net/podcast09/13024-05.02.2022-ITEMA_22923647-2022C3067E0003-21.mp3"
"2022-01-29";"""Les papiers d’Aspern"" de Henry James ";3460;"https://media.radiofrance-podcast.net/podcast09/13026-29.01.2022-ITEMA_22916074-2022C3067E0002-21.mp3"
"2022-01-22";"""À vau-l’eau"" de Joris-Karl Huysmans";3496;"https://media.radiofrance-podcast.net/podcast09/21813-22.01.2022-ITEMA_22908826-2020C3067E0069-21.mp3"
"2022-01-15";"""Extension du domaine de la lutte"" de Michel Houellebecq";3532;"https://media.radiofrance-podcast.net/podcast09/21813-15.01.2022-ITEMA_22901190-2022C3067E0001-21.mp3"
"2022-01-08";"""Cher Cheval""  de et avec Jacques Gamblin";3507;"https://media.radiofrance-podcast.net/podcast09/21813-08.01.2022-ITEMA_22893603-2021C3067E0161-21.mp3"
"2022-01-01";"""La Boîte à joujoux"" de Marie Desplechin";3298;"https://media.radiofrance-podcast.net/podcast09/11496-01.01.2022-ITEMA_22885766-2015C3067E0162-21.mp3"
"2021-12-25";"""Billy et les Minuscules"" de Roald Dahl";2774;"https://media.radiofrance-podcast.net/podcast09/11496-25.12.2021-ITEMA_22880650-2021C3067E0165-21.mp3"
"2021-12-18";"De 1990 à 1998";3439;"https://media.radiofrance-podcast.net/podcast09/13026-18.12.2021-ITEMA_22875013-2020C3067E0056-21.mp3"
"2021-12-11";"De 1941 à 1957";3439;"https://media.radiofrance-podcast.net/podcast09/13024-11.12.2021-ITEMA_22867383-2020C3067E0055-21.mp3"
"2021-12-04";"De 1922 à 1941";3439;"https://media.radiofrance-podcast.net/podcast09/11496-04.12.2021-ITEMA_22859852-2020C3067E0054-21.mp3"
"2021-11-27";"""Rue des boutiques obscures"" de Patrick Modiano ";3033;"https://media.radiofrance-podcast.net/podcast09/11496-27.11.2021-ITEMA_22852471-2021C3067E0157-21.mp3"
"2021-11-20";" ""Dora Bruder"" de Patrick Modiano";3318;"https://media.radiofrance-podcast.net/podcast09/11496-20.11.2021-ITEMA_22845084-2021C3067E0156-21.mp3"
"2021-11-13";"""La Peste"" d'Albert Camus";3356;"https://media.radiofrance-podcast.net/podcast09/13023-13.11.2021-ITEMA_22837567-2021C3067E0155-21.mp3"
"2021-11-06";"""Le Premier Homme"" d'Albert Camus";3437;"https://media.radiofrance-podcast.net/podcast09/13026-06.11.2021-ITEMA_22830165-2021C3067E0154-21.mp3"
"2021-10-30";"""L'Art et la révolte"" d'Albert Camus lu par Abd Al Malik";3060;"https://media.radiofrance-podcast.net/podcast09/13023-30.10.2021-ITEMA_22823164-2021C3067E0151-21.mp3"
"2021-10-23";"""L’Inondation"" de Evgueni Zamiatine...EN DIRECT";3483;"https://media.radiofrance-podcast.net/podcast09/13023-23.10.2021-ITEMA_22816240-2021C3067S0296-21.mp3"
"2021-10-16";"""Fables"" de la Fontaine";3537;"https://media.radiofrance-podcast.net/podcast09/13023-16.10.2021-ITEMA_22808648-2021C3067E0153-21.mp3"
"2021-10-09";"""Le château"" de Franz Kafka (partie 2)";3123;"https://media.radiofrance-podcast.net/podcast09/13026-09.10.2021-ITEMA_22801112-2010C3067E0006-21.mp3"
"2021-10-02";"""Le Château"" de Franz Kafka (partie 1)";3365;"https://media.radiofrance-podcast.net/podcast09/11496-02.10.2021-ITEMA_22793515-2009C3067E0358-21.mp3"
"2021-09-28";"""La Boîte à Joujoux"" de Claude Debussy, texte de Marie Desplechin";3298;"https://media.radiofrance-podcast.net/podcast09/11496-01.01.2022-ITEMA_22885766-2015C3067E0162-21.mp3"
"2021-09-25";"""La métamorphose"" de Franz Kafka";3700;"https://media.radiofrance-podcast.net/podcast09/21813-25.09.2021-ITEMA_22786273-2021C3067E0152-21.mp3"
"2021-09-18";"""Un jardin tout blanc"" de Anton Tchekhov";3353;"https://media.radiofrance-podcast.net/podcast09/11496-18.09.2021-ITEMA_22778586-2021C3067E0148-21.mp3"
"2021-09-11";"""Trois semaines après le paradis"" de Israël Horovitz";3475;"https://media.radiofrance-podcast.net/podcast09/21813-11.09.2021-ITEMA_22771238-2021C3067E0150-21.mp3"
"2021-07-03";"""La petite Roque""";3544;"https://media.radiofrance-podcast.net/podcast09/13026-03.07.2021-ITEMA_22718520-2019C3067E0005.mp3"
"2021-06-26";"Sartre/Camus ""La bataille de L’homme révolté""";3427;"https://media.radiofrance-podcast.net/podcast09/13026-26.06.2021-ITEMA_22712473-2021C3067E0146.mp3"
"2021-05-15";"""Doppelgänger"" de Tarik Noui";3389;"https://media.radiofrance-podcast.net/podcast09/13026-15.05.2021-ITEMA_22671846-2015C3067E0159.mp3"
"2021-05-08";"""Une Odyssée martienne"" de Stéphane Michaka";3629;"https://media.radiofrance-podcast.net/podcast09/21813-08.05.2021-ITEMA_22663032-2019C3067E0018.mp3"
"2021-05-01";"""Et moi aussi, en Arcadie"" de Laurent Kloetzer";3462;"https://media.radiofrance-podcast.net/podcast09/13026-01.05.2021-ITEMA_22653216-2021C3067E0087.mp3"
"2021-04-10";"""Le Vampire"" de John William Polidori";3435;"https://media.radiofrance-podcast.net/podcast09/11496-12.10.2019-ITEMA_22173950-2019C3067E0027-1779455909.mp3"
"2020-06-13";"""Meurtre au conservatoire"" de Victoria Kaario";3485;"https://media.radiofrance-podcast.net/podcast09/21787-07.10.2020-ITEMA_22450178-2017C3067E0215-21.mp3"
"2020-06-06";"""La Maison Winchester"" de Pierre Senges";3378;"https://media.radiofrance-podcast.net/podcast09/11496-06.06.2020-ITEMA_22355383-0-1779455909.mp3"
"2020-05-30";"""Ecoutes sensibles"" de Katell Guillou";3495;"https://media.radiofrance-podcast.net/podcast09/13026-30.05.2020-ITEMA_22350468-0-1779455909.mp3"
"2020-05-02";"""De l'autre côté de l'enfer"" de Noël Simsolo";3541;"https://media.radiofrance-podcast.net/podcast09/20956-12.04.2020-ITEMA_22325905-0.mp3"
"2020-04-25";"Dommages collatéraux";3491;"https://media.radiofrance-podcast.net/podcast09/20956-17.04.2020-ITEMA_22330925-0-1779455909.mp3"
"2020-04-18";"Les dessous du Victoria Palace";3521;"https://media.radiofrance-podcast.net/podcast09/20956-17.04.2020-ITEMA_22330925-1-1779455909.mp3"
"2020-04-11";"Mort d’un ministre";3488;"https://media.radiofrance-podcast.net/podcast09/20956-17.04.2020-ITEMA_22330925-2-1779455909.mp3"
"2020-03-21";"De 1990 à 1998";3439;"https://media.radiofrance-podcast.net/podcast09/13026-18.12.2021-ITEMA_22875013-2020C3067E0056-21.mp3"
"2020-03-14";"De 1941 à 1957";3439;"https://media.radiofrance-podcast.net/podcast09/13024-11.12.2021-ITEMA_22867383-2020C3067E0055-21.mp3"
"2020-03-07";"De 1922 à 1941";3439;"https://media.radiofrance-podcast.net/podcast09/11496-04.12.2021-ITEMA_22859852-2020C3067E0054-21.mp3"
"2020-01-04";"""Une aventure de Tom Sawyer"" d’après Mark Twain";3368;"https://media.radiofrance-podcast.net/podcast09/11496-04.01.2020-ITEMA_22245792-2019C3067E0031.mp3"
"2019-12-28";"""Capitaine Fracasse"" de Stéphane Michaka";3439;"https://media.radiofrance-podcast.net/podcast09/11496-28.12.2019-ITEMA_22240766-2019C3067E0030.mp3"
"2019-12-07";"""Eugénie grandit"" de Ketty Steward";3493;"https://media.radiofrance-podcast.net/podcast09/21169-24.05.2020-ITEMA_22347871-2019C3067E0025-21.mp3"
"2019-11-30";"""Une Odyssée martienne"" de Stéphane Michaka";3629;"https://media.radiofrance-podcast.net/podcast09/21813-08.05.2021-ITEMA_22663032-2019C3067E0018.mp3"
"2019-11-23";"""Le Parloir aux absents"" de Léo Henry";2886;"https://media.radiofrance-podcast.net/podcast09/21169-24.05.2020-ITEMA_22347871-2019C3067E0026-21.mp3"
"2019-11-16";"La révélation";3489;"https://media.radiofrance-podcast.net/podcast09/13024-20.01.2018-ITEMA_21562112-6.mp3"
"2019-11-09";"Le temps des amours ";3473;"https://media.radiofrance-podcast.net/podcast09/13024-13.01.2018-ITEMA_21555077-6.mp3"
"2019-11-02";"Le retour de Victor Blainville";3483;"https://media.radiofrance-podcast.net/podcast09/13024-06.01.2018-ITEMA_21547797-6.mp3"
"2019-10-12";"""Le Vampire"" de John William Polidori";3435;"https://media.radiofrance-podcast.net/podcast09/11496-12.10.2019-ITEMA_22173950-2019C3067E0027-1779455909.mp3"
"2019-09-14";"""Ostende"" et ""on ferme au noir"" ";3541;"https://media.radiofrance-podcast.net/podcast09/20956-13.04.2020-ITEMA_22325904-0-1779455909.mp3"
"2019-09-07";"""Et pour finir"" et ""Wabash blues""";3516;"https://media.radiofrance-podcast.net/podcast09/20956-13.04.2020-ITEMA_22325904-1-1779455909.mp3"
"2019-06-15";"""Les frères corses"" d'Alexandre Dumas";3568;"https://cdn.radiofrance.fr/s3/cruiser-production/static/culture/sons/2015/05/s21/RF_4BB0F09A-9581-4254-BE4A-C164E076CBEF_GENE.MP3"
"2019-06-08";"""La femme au collier de velours"" d'Alexandre Dumas";3588;"https://cdn.radiofrance.fr/s3/cruiser-production/static/culture/sons/2015/05/s20/WL-ITE_00073099_RSCE-10.mp3"
"2019-04-13";"""Chuchotements dans la nuit"" de Howard Phillips Lovecraft";3475;"https://media.radiofrance-podcast.net/podcast09/21968-25.01.2021-ITEMA_22557181-2016C3067E0186.mp3"
"2019-03-16";"""La petite Roque""";3544;"https://media.radiofrance-podcast.net/podcast09/13026-03.07.2021-ITEMA_22718520-2019C3067E0005.mp3"
"2019-03-09";"""En famille""";3541;"https://media.radiofrance-podcast.net/podcast09/13026-09.03.2019-ITEMA_22003730-2019C3067E0004.mp3"
"2019-02-02";"""Comment faire disparaître une ombre"" de Pierre Senges";3535;"https://media.radiofrance-podcast.net/podcast09/11496-02.02.2019-ITEMA_21970304-0.mp3"
"2019-01-26";"""Doppelgänger"" de Tarik Noui";3389;"https://media.radiofrance-podcast.net/podcast09/13026-15.05.2021-ITEMA_22671846-2015C3067E0159.mp3"
"2019-01-05";"""Frappe toi le coeur"" de Amélie Nothomb";3523;"https://media.radiofrance-podcast.net/podcast09/13024-05.01.2019-ITEMA_21941837-6.mp3"
"2018-11-17";"""L’échiquier du Roi"" de Xavier Mauméjean";3567;"https://media.radiofrance-podcast.net/podcast09/20956-05.04.2020-ITEMA_22326780-0-1779455909.mp3"
"2018-11-10";"Apollinaire, Poèmes de la paix et de la guerre";1488;"https://media.radiofrance-podcast.net/podcast09/11496-10.11.2018-ITEMA_21887979-0.mp3"
"2018-11-03";"Dommages collatéraux";3491;"https://media.radiofrance-podcast.net/podcast09/20956-17.04.2020-ITEMA_22330925-0-1779455909.mp3"
"2018-10-27";"Les dessous du Victoria Palace";3521;"https://media.radiofrance-podcast.net/podcast09/20956-17.04.2020-ITEMA_22330925-1-1779455909.mp3"
"2018-10-20";"Mort d’un ministre";3488;"https://media.radiofrance-podcast.net/podcast09/20956-17.04.2020-ITEMA_22330925-2-1779455909.mp3"
"2018-06-30";"Voiles de mort de Didier Daeninckx";2944;"https://cdn.radiofrance.fr/s3/cruiser-production/2018/07/4dea275d-1b8f-4c81-b016-337b22d0ba7b/petits_polars_-_voiles_de_mort_de_didier_daenincks.ite_00060095_rsce.mp3"
"2018-06-09";"Lettre à ma mère de Georges Simenon";3527;"https://media.radiofrance-podcast.net/podcast09/13024-09.06.2018-ITEMA_21706490-6.mp3"
"2018-06-02";"Les mémoires de Maigret de Georges Simenon";3493;"https://media.radiofrance-podcast.net/podcast09/13024-02.06.2018-ITEMA_21699189-6.mp3"
