"date";"title";"duration";"file_url"
"2022-11-10";"Geremy Credeville est Grand Ben Mazué Malade";235;"https://media.radiofrance-podcast.net/podcast09/13939-10.11.2022-ITEMA_23191968-2022F31178S0314-22.mp3"
"2022-11-04";"Trucs et Astuces pour passer l’hiver au chaud - Gérémy Crédeville n'a pas compris";297;"https://media.radiofrance-podcast.net/podcast09/13939-04.11.2022-ITEMA_23185969-2022F31178S0308-22.mp3"
"2022-10-18";"Gérémy Crédeville est Nikos Aliagas";265;"https://media.radiofrance-podcast.net/podcast09/15275-18.10.2022-ITEMA_23169659-2022F31178S0291-22.mp3"
"2022-10-04";"Fais ta palpation 2";274;"https://media.radiofrance-podcast.net/podcast09/13939-04.10.2022-ITEMA_23154975-2022F31178S0277-22.mp3"
"2022-09-06";"Les super profits on s’en fout, livrez-moi !";219;"https://media.radiofrance-podcast.net/podcast09/13939-06.09.2022-ITEMA_23124953-2022F31178S0249-22.mp3"
"2022-08-30";"Le burn out de la reprise";270;"https://media.radiofrance-podcast.net/podcast09/15275-30.08.2022-ITEMA_23117232-2022F31178S0242-22.mp3"
"2022-06-30";"Les Enfoirés de la Bande Originale";283;"https://media.radiofrance-podcast.net/podcast09/15275-30.06.2022-ITEMA_23075532-2022F31178S0181-22.mp3"
"2022-06-23";"Les Festivaliers";198;"https://media.radiofrance-podcast.net/podcast09/15275-23.06.2022-ITEMA_23068319-2022F31178S0174-22.mp3"
"2022-06-17";"La Belle et les Bêtes";320;"https://media.radiofrance-podcast.net/podcast09/15275-17.06.2022-ITEMA_23062007-2022F31178S0168-22.mp3"
"2022-06-06";"BEST OF - Gérémy chante fort";210;"https://media.radiofrance-podcast.net/podcast09/15275-06.06.2022-ITEMA_23049692-2022F31178S0157-22.mp3"
"2022-05-18";"L’histoire de l’alcoolique sur le retour et de la prostituée d’autoroute ";264;"https://media.radiofrance-podcast.net/podcast09/13939-18.05.2022-ITEMA_23030033-2022F31178S0138-22.mp3"
"2022-05-12";"Geremy part en live avec Louis Bertignac";275;"https://media.radiofrance-podcast.net/podcast09/15275-12.05.2022-ITEMA_23023812-2022F31178S0132-22.mp3"
"2022-05-05";"BEST OF - Fais ta palpation (fruit de la passion)";201;"https://media.radiofrance-podcast.net/podcast09/15275-05.05.2022-ITEMA_23016490-2022F31178S0125-22.mp3"
"2022-04-28";"Donner son opinion politique quand on est humoriste";273;"https://media.radiofrance-podcast.net/podcast09/15275-28.04.2022-ITEMA_23009268-2022F31178S0118-22.mp3"
"2022-04-14";"Salmonellose, œufs au caca, bamboleo bambolea ";223;"https://media.radiofrance-podcast.net/podcast09/13939-14.04.2022-ITEMA_22995105-2022F31178S0104-22.mp3"
"2022-04-06";"Météo, pas là";248;"https://media.radiofrance-podcast.net/podcast09/15275-06.04.2022-ITEMA_22986681-2022F31178S0096-22.mp3"
"2022-03-25";"Un enfant";217;"https://media.radiofrance-podcast.net/podcast09/15275-25.03.2022-ITEMA_22974339-2022F31178S0084-22.mp3"
"2022-03-23";"Gérémy chante fort";244;"https://media.radiofrance-podcast.net/podcast09/15275-23.03.2022-ITEMA_22971844-2022F31178S0082-22.mp3"
"2022-03-17";"Masque, je suis venu te dire que je t’enlevais";234;"https://media.radiofrance-podcast.net/podcast09/15275-17.03.2022-ITEMA_22965602-2022F31178S0076-22.mp3"
"2022-03-03";"Le spécialiste de la guerre en Ukraine";189;"https://media.radiofrance-podcast.net/podcast09/13939-03.03.2022-ITEMA_22950482-2022F31178S0062-22.mp3"
"2022-02-22";"La première chronique de mon smartphone";254;"https://media.radiofrance-podcast.net/podcast09/13939-22.02.2022-ITEMA_22940798-2022F31178S0053-22.mp3"
"2022-02-17";"La chanson du démarchage téléphonique";260;"https://media.radiofrance-podcast.net/podcast09/13939-17.02.2022-ITEMA_22935120-2022F31178S0048-22.mp3"
"2022-02-10";"La Saint-Valentin, journée mondiale de l’épilepsie";202;"https://media.radiofrance-podcast.net/podcast09/13939-10.02.2022-ITEMA_22928713-2022F31178S0041-22.mp3"
"2022-01-20";"Du mentalisme à la radio ";280;"https://media.radiofrance-podcast.net/podcast09/15275-20.01.2022-ITEMA_22906131-2022F31178S0020-22.mp3"
"2022-01-13";"Ras - Le - Bol";218;"https://media.radiofrance-podcast.net/podcast09/18833-13.01.2022-ITEMA_22898577-2022F31178S0013-21.mp3"
"2022-01-06";"Les mesures covid 2023 ";253;"https://media.radiofrance-podcast.net/podcast09/18833-06.01.2022-ITEMA_22890866-2022F31178S0006-21.mp3"
"2021-12-30";"La chanson cachée de Pascal Obispo";253;"https://media.radiofrance-podcast.net/podcast09/13939-30.12.2021-ITEMA_22884206-2021F31178S0364-22.mp3"
"2021-12-24";"Joyeux Noël";212;"https://media.radiofrance-podcast.net/podcast09/13939-24.12.2021-ITEMA_22879907-2021F31178S0358-22.mp3"
"2021-12-15";"Le slam du Lille-Paris";229;"https://media.radiofrance-podcast.net/podcast09/18833-15.12.2021-ITEMA_22871333-2021F31178S0349-21.mp3"
"2021-12-02";"Pourquoi tu dors si mal";162;"https://media.radiofrance-podcast.net/podcast09/18833-02.12.2021-ITEMA_22857506-2021F31178S0336-21.mp3"
"2021-11-25";"C’est la cinquième vague";206;"https://media.radiofrance-podcast.net/podcast09/15275-25.11.2021-ITEMA_22850156-2021F31178S0329-22.mp3"
"2021-11-18";"La chanson du toucher rectal ";182;"https://media.radiofrance-podcast.net/podcast09/15275-18.11.2021-ITEMA_22842118-2021F31178S0322-22.mp3"
"2021-10-28";"Les élus d’abord ";211;"https://media.radiofrance-podcast.net/podcast09/18833-28.10.2021-ITEMA_22821016-2021F31178S0301-21.mp3"
"2021-10-21";"Montre jamais ma danse à personne ";189;"https://media.radiofrance-podcast.net/podcast09/18833-21.10.2021-ITEMA_22813848-2021F31178S0294-21.mp3"
"2021-10-14";"Fais ta palpation (fruit de la passion) ";222;"https://media.radiofrance-podcast.net/podcast09/15275-14.10.2021-ITEMA_22806300-2021F31178S0287-22.mp3"
"2021-09-30";"Comment chanter en anglais ?";200;"https://media.radiofrance-podcast.net/podcast09/15275-30.09.2021-ITEMA_22791257-2021F31178S0273-22.mp3"
"2021-09-23";"Les démons de minuit et les chasseurs";241;"https://media.radiofrance-podcast.net/podcast09/15275-23.09.2021-ITEMA_22783740-2021F31178S0266-22.mp3"
"2021-09-16";"Le vrai hommage à Johnny";224;"https://media.radiofrance-podcast.net/podcast09/15275-16.09.2021-ITEMA_22776279-2021F31178S0259-22.mp3"
"2021-09-09";"Une première danse ";234;"https://media.radiofrance-podcast.net/podcast09/13939-09.09.2021-ITEMA_22768643-2021F31178S0252-22.mp3"
"2021-09-02";"J’ai le cœur gros Nadine";281;"https://media.radiofrance-podcast.net/podcast09/18833-02.09.2021-ITEMA_22760872-2021F31178S0245.mp3"
"2021-07-01";"Comptine d’un autre été ";163;"https://media.radiofrance-podcast.net/podcast09/18833-01.07.2021-ITEMA_22716732-2021F31178S0182.mp3"
"2021-06-25";"Le Tour de France sur l'air d'Armstrong";201;"https://media.radiofrance-podcast.net/podcast09/15275-25.06.2021-ITEMA_22711565-2021F31178S0176.mp3"
"2021-06-18";"Formula 1 : pilotes de leur destin";206;"https://media.radiofrance-podcast.net/podcast09/15275-18.06.2021-ITEMA_22703912-2021F31178S0169.mp3"
"2021-06-17";"Gérémy De Palmas ";234;"https://media.radiofrance-podcast.net/podcast09/15275-17.06.2021-ITEMA_22702669-2021F31178S0168.mp3"
"2021-06-03";"Ces phrases de nos parents qu’on répète à nos enfants ";254;"https://media.radiofrance-podcast.net/podcast09/15275-03.06.2021-ITEMA_22688592-2021F31178S0154.mp3"
"2021-05-28";"En mai fais ce qu’il te pleut ";203;"https://media.radiofrance-podcast.net/podcast09/18833-28.05.2021-ITEMA_22682512-2021F31178S0148.mp3"
"2021-05-20";"La chanson cachée de Pascal Obispo";259;"https://media.radiofrance-podcast.net/podcast09/15275-20.05.2021-ITEMA_22668409-2021F31178S0140-22.mp3"
"2021-05-06";"Les nouveaux mots du dico";252;"https://media.radiofrance-podcast.net/podcast09/15275-06.05.2021-ITEMA_22659002-2021F31178S0126.mp3"
"2021-04-08";"Comment télétravailler avec deux enfants ? ";206;"https://media.radiofrance-podcast.net/podcast09/15275-08.04.2021-ITEMA_22629854-2021F31178S0098.mp3"
"2021-03-22";"Le nouveau confinement ";241;"https://media.radiofrance-podcast.net/podcast09/18833-22.03.2021-ITEMA_22611027-2021F31178S0081.mp3"
"2021-03-18";"La prochaine séance ";191;"https://media.radiofrance-podcast.net/podcast09/15275-18.03.2021-ITEMA_22607285-2021F31178S0077.mp3"
"2021-03-12";"La beaufitude";255;"https://media.radiofrance-podcast.net/podcast09/15275-12.03.2021-ITEMA_22600956-2021F31178S0071.mp3"
"2021-03-05";"Nos vieux";263;"https://media.radiofrance-podcast.net/podcast09/15275-05.03.2021-ITEMA_22593557-2021F31178S0064.mp3"
"2021-02-18";"Collés serrés ";226;"https://media.radiofrance-podcast.net/podcast09/15275-18.02.2021-ITEMA_22578169-2021F31178S0049.mp3"
"2021-02-16";"Gérémy Crédeville, sans commentaire";198;"https://media.radiofrance-podcast.net/podcast09/15275-16.02.2021-ITEMA_22575793-2021F31178S0047.mp3"
"2021-02-15";"Gérémy est Paul Mirabel";218;"https://media.radiofrance-podcast.net/podcast09/18833-15.02.2021-ITEMA_22575056-2021F31178S0046.mp3"
"2021-02-11";"Slam pour les étudiants";177;"https://media.radiofrance-podcast.net/podcast09/15275-11.02.2021-ITEMA_22570986-2021F31178S0042.mp3"
"2021-02-04";"Merci Jean-Michel Blanquer";241;"https://media.radiofrance-podcast.net/podcast09/15275-04.02.2021-ITEMA_22563813-2021F31178S0035.mp3"
"2021-01-28";"Le consentement sexuel à 13 ans ";224;"https://media.radiofrance-podcast.net/podcast09/13939-28.01.2021-ITEMA_22556506-2021F31178S0028.mp3"
"2021-01-21";"Voilà pourquoi je déteste Hugo Clément ";244;"https://media.radiofrance-podcast.net/podcast09/18833-21.01.2021-ITEMA_22549258-2021F31178S0021.mp3"
"2021-01-14";"Mon nouvel emploi grâce à Pôle emploi ";195;"https://media.radiofrance-podcast.net/podcast09/15275-14.01.2021-ITEMA_22542008-2021F31178S0014.mp3"
"2021-01-07";"Un mois sans alcool";254;"https://media.radiofrance-podcast.net/podcast09/18833-07.01.2021-ITEMA_22534706-2021F31178S0007.mp3"
"2020-12-30";"Est-ce que ce monde est sérieux ? ";255;"https://media.radiofrance-podcast.net/podcast09/18833-30.12.2020-ITEMA_22527427-2020F31178S0365.mp3"
"2020-12-17";"Le spectacle est mort, vive le spectacle !";231;"https://media.radiofrance-podcast.net/podcast09/15275-17.12.2020-ITEMA_22517179-2020F31178S0352-22.mp3"
"2020-12-10";"Comment liquider sa société en France";270;"https://media.radiofrance-podcast.net/podcast09/18833-10.12.2020-ITEMA_22510020-2020F31178S0345.mp3"
"2020-12-04";"Gérémy est Tanguy Pastureau";232;"https://media.radiofrance-podcast.net/podcast09/13939-04.12.2020-ITEMA_22504111-2020F31178S0339.mp3"
"2020-12-03";"Gérémy reprend ""Bande Organisée"", mais seul";218;"https://media.radiofrance-podcast.net/podcast09/15275-03.12.2020-ITEMA_22503031-2020F31178S0338.mp3"
"2020-11-26";"Jouer un spectacle sans public";186;"https://media.radiofrance-podcast.net/podcast09/13939-26.11.2020-ITEMA_22495853-2020F31178S0331.mp3"
"2020-11-19";"""Une Vieille en Ehpad"" sur un air de Marc Lavoine";220;"https://media.radiofrance-podcast.net/podcast09/13939-19.11.2020-ITEMA_22488733-2020F31178S0324.mp3"
"2020-11-12";"Ce que vous ne saviez-pas sur les tests PCR";237;"https://media.radiofrance-podcast.net/podcast09/18833-12.11.2020-ITEMA_22481635-2020F31178S0317.mp3"
"2020-11-04";"Est-ce que ce monde est sérieux ?";255;"https://media.radiofrance-podcast.net/podcast09/13939-04.11.2020-ITEMA_22473378-2020F31178S0309.mp3"
"2020-10-15";"Le plus mauvais défenseur de la manif pour tous";213;"https://media.radiofrance-podcast.net/podcast09/15275-15.10.2020-ITEMA_22456088-2020F31178S0289-22.mp3"
"2020-10-08";"""Mauvaise Personne"", le tube caché de Fauve ≠";224;"https://media.radiofrance-podcast.net/podcast09/13939-08.10.2020-ITEMA_22449595-2020F31178S0282-1779455909.mp3"
"2020-10-01";"Vers un cirque plus propre qu’un cul d’éléphant";221;"https://media.radiofrance-podcast.net/podcast09/15275-01.10.2020-ITEMA_22443160-2020F31178S0275-1779455909.mp3"
"2020-09-22";"Une histoire de bruits";224;"https://media.radiofrance-podcast.net/podcast09/15275-22.09.2020-ITEMA_22434437-2020F31178S0266-1779455909.mp3"
