"date";"title";"duration";"file_url"
"2022-06-13";"J'aime pas lire";245;"https://media.radiofrance-podcast.net/podcast09/18153-13.06.2022-ITEMA_23056993-2022F38729S0164-22.mp3"
"2022-06-09";"Le climat, tout le monde s'en branle";254;"https://media.radiofrance-podcast.net/podcast09/20857-09.06.2022-ITEMA_23053355-2022F38729S0160-22.mp3"
"2022-06-02";"Famine : faîtes des réserves";253;"https://media.radiofrance-podcast.net/podcast09/15275-02.06.2022-ITEMA_23045968-2022F38729S0153-22.mp3"
"2022-05-12";"Sécheresse : il va falloir s'adapter";220;"https://media.radiofrance-podcast.net/podcast09/13942-12.05.2022-ITEMA_23023805-2022F38729S0132-22.mp3"
"2022-05-05";"Aymeric fait de la pédagogie";250;"https://media.radiofrance-podcast.net/podcast09/13942-05.05.2022-ITEMA_23016482-2022F38729S0125-22.mp3"
"2022-04-28";"En marche ou en crève";285;"https://media.radiofrance-podcast.net/podcast09/15275-28.04.2022-ITEMA_23009268-2022F38729S0118-22.mp3"
"2022-04-25";"Le pire dimanche de ma vie ";283;"https://media.radiofrance-podcast.net/podcast09/20857-25.04.2022-ITEMA_23006368-2022F38729S0115-22.mp3"
"2022-04-21";"Débrief du débat présidentiel";216;"https://media.radiofrance-podcast.net/podcast09/20857-21.04.2022-ITEMA_23002206-2022F38729S0111-22.mp3"
"2022-04-14";"Mes intentions de vote pour dimanche";227;"https://media.radiofrance-podcast.net/podcast09/13942-14.04.2022-ITEMA_22995109-2022F38729S0104-22.mp3"
"2022-03-24";"Rangez vos ordures dans le train!";276;"https://media.radiofrance-podcast.net/podcast09/13942-24.03.2022-ITEMA_22973083-2022F38729S0083-22.mp3"
"2022-03-10";"J'ai pas d'avis";232;"https://media.radiofrance-podcast.net/podcast09/13942-10.03.2022-ITEMA_22958001-2022F38729S0069-22.mp3"
"2022-02-24";"Adèle Van Reeth, nouvelle Directrice de France Inter";273;"https://media.radiofrance-podcast.net/podcast09/18153-24.02.2022-ITEMA_22943182-2022F38729S0055-22.mp3"
"2022-02-17";"Plus on vieillit, plus on devient de droite";250;"https://media.radiofrance-podcast.net/podcast09/18153-17.02.2022-ITEMA_22935142-2022F38729S0048-22.mp3"
"2022-02-10";"Les migrants à Calais";249;"https://media.radiofrance-podcast.net/podcast09/13942-10.02.2022-ITEMA_22928717-2022F38729S0041-22.mp3"
"2022-02-03";"Fils de";256;"https://media.radiofrance-podcast.net/podcast09/18153-03.02.2022-ITEMA_22921198-2022F38729S0034-22.mp3"
"2022-01-27";"Les 15 ans de la mort de l'Abbé Pierre";220;"https://media.radiofrance-podcast.net/podcast09/13942-27.01.2022-ITEMA_22913713-2022F38729S0027-22.mp3"
"2022-01-20";"Chaque jour est une fête";251;"https://media.radiofrance-podcast.net/podcast09/20857-20.01.2022-ITEMA_22906140-2022F38729S0020-22.mp3"
"2021-12-30";"Les Pandora papers";256;"https://media.radiofrance-podcast.net/podcast09/20857-30.12.2021-ITEMA_22884243-2021F38729S0364-22.mp3"
"2021-12-23";"Aymeric veut changer les choses";243;"https://media.radiofrance-podcast.net/podcast09/18153-23.12.2021-ITEMA_22876756-2021F38729S0357-22.mp3"
"2021-12-09";"Vive les pauvres!";225;"https://media.radiofrance-podcast.net/podcast09/18153-09.12.2021-ITEMA_22864984-2021F38729S0343-22.mp3"
"2021-12-02";"#MeToo";219;"https://media.radiofrance-podcast.net/podcast09/18153-02.12.2021-ITEMA_22857509-2021F38729S0336-22.mp3"
"2021-11-25";"Bolloré le philanthrope ";224;"https://media.radiofrance-podcast.net/podcast09/13942-25.11.2021-ITEMA_22850129-2021F38729S0329-22.mp3"
"2021-11-18";"3 millions de logements vacants";252;"https://media.radiofrance-podcast.net/podcast09/20857-18.11.2021-ITEMA_22842785-2021F38729S0322-22.mp3"
"2021-11-11";"La gauche va perdre";254;"https://media.radiofrance-podcast.net/podcast09/18153-11.11.2021-ITEMA_22835343-2021F38729S0315-22.mp3"
"2021-11-04";"La théorie du ruissellement, ça marche pas";242;"https://media.radiofrance-podcast.net/podcast09/20857-04.11.2021-ITEMA_22828004-2021F38729S0308-22.mp3"
"2021-10-28";"En 2022, je vote Macron grâce à McFly et Carlito";249;"https://media.radiofrance-podcast.net/podcast09/20857-28.10.2021-ITEMA_22821059-2021F38729S0301-22.mp3"
"2021-10-21";"Les sujets de la campagne électorale";223;"https://media.radiofrance-podcast.net/podcast09/18153-21.10.2021-ITEMA_22813851-2021F38729S0294-22.mp3"
"2021-10-15";"Je vois des fachos partout";250;"https://media.radiofrance-podcast.net/podcast09/20857-15.10.2021-ITEMA_22807652-2021F38729S0288-22.mp3"
"2021-10-07";"Les pandora papers";261;"https://media.radiofrance-podcast.net/podcast09/18153-07.10.2021-ITEMA_22798778-2021F38729S0280-22.mp3"
"2021-09-23";"Aymeric veut changer les choses";259;"https://media.radiofrance-podcast.net/podcast09/13942-23.09.2021-ITEMA_22783673-2021F38729S0266-22.mp3"
"2021-09-16";"Debout les femmes";218;"https://media.radiofrance-podcast.net/podcast09/13942-16.09.2021-ITEMA_22776191-2021F38729S0259-22.mp3"
