"date";"title";"duration";"file_url"
"2018-08-28";"Parlons balcon, parlons nichons";"228";"https://media.radiofrance-podcast.net/podcast09/18153-28.08.2018-ITEMA_21786022-7.mp3"
"2018-09-18";"Nettoyer l'eau, un problème insoluble ?";"168";"https://media.radiofrance-podcast.net/podcast09/18153-18.09.2018-ITEMA_21814623-8.mp3"
"2018-09-27";"Journée mondiale de la contraception ";"151";"https://media.radiofrance-podcast.net/podcast09/15275-27.09.2018-ITEMA_21827640-29.mp3"
"2018-10-08";"Conversation avec moi-même";"142";"https://media.radiofrance-podcast.net/podcast09/18153-08.10.2018-ITEMA_21842190-8.mp3"
"2018-11-07";"Le bon sens ";"197";"https://media.radiofrance-podcast.net/podcast09/15275-07.11.2018-ITEMA_21885520-29.mp3"
"2018-11-13";"Journée mondiale de la bonté ";"187";"https://media.radiofrance-podcast.net/podcast09/18834-13.11.2018-ITEMA_21891267-0.mp3"
"2018-11-20";"Les animaux sont des cons ";"139";"https://media.radiofrance-podcast.net/podcast09/18153-20.11.2018-ITEMA_21898012-3.mp3"
"2018-11-27";"Les lobbies pharmaceutiques";"173";"https://media.radiofrance-podcast.net/podcast09/15275-27.11.2018-ITEMA_21904793-9.mp3"
"2018-12-04";"Journée mondiale du cinéma indépendant ";"192";"https://media.radiofrance-podcast.net/podcast09/15275-04.12.2018-ITEMA_21911491-10.mp3"
"2018-12-11";"Journée internationale de la montagne ";"172";"https://media.radiofrance-podcast.net/podcast09/18834-11.12.2018-ITEMA_21917281-0.mp3"
"2018-12-20";"La Journée internationale de la solidarité humaine";"152";"https://media.radiofrance-podcast.net/podcast09/18834-20.12.2018-ITEMA_21927272-0.mp3"
"2018-12-28";"On va pas parler de lolos, on va parler de l’eau";"131";"https://media.radiofrance-podcast.net/podcast09/15275-28.12.2018-ITEMA_21935128-7.mp3"
"2019-01-08";"Bonne année 2019 !";"138";"https://media.radiofrance-podcast.net/podcast09/18834-08.01.2019-ITEMA_21945076-0.mp3"
"2019-01-15";"La journée mondiale du chapeau ";"177";"https://media.radiofrance-podcast.net/podcast09/18834-15.01.2019-ITEMA_21951865-0.mp3"
"2019-01-22";"La journée mondiale de la solitude ";"175";"https://media.radiofrance-podcast.net/podcast09/15275-22.01.2019-ITEMA_21958620-9.mp3"
"2019-01-29";"La journée à l'envers ";"179";"https://media.radiofrance-podcast.net/podcast09/18153-29.01.2019-ITEMA_21965200-1.mp3"
"2019-02-12";"Mon cul sur le dos de Darwin";"182";"https://media.radiofrance-podcast.net/podcast09/18153-12.02.2019-ITEMA_21979914-3.mp3"
"2019-02-19";"Journée internationale de la baleine ";"194";"https://media.radiofrance-podcast.net/podcast09/18834-19.02.2019-ITEMA_21986714-0.mp3"
"2019-02-26";"La journée du conte de fée ";"172";"https://media.radiofrance-podcast.net/podcast09/15275-26.02.2019-ITEMA_21993454-9.mp3"
"2019-03-07";"Les animaux sont des cons";"138";"https://media.radiofrance-podcast.net/podcast09/15275-07.03.2019-ITEMA_22002231-8.mp3"
"2019-03-12";"Journée mondiale de la plomberie ";"210";"https://media.radiofrance-podcast.net/podcast09/18834-12.03.2019-ITEMA_22006287-0.mp3"
"2019-03-19";"Comment Constance a changé le monde ?";"158";"https://media.radiofrance-podcast.net/podcast09/18153-19.03.2019-ITEMA_22012555-3.mp3"
"2019-03-26";"Journée mondiale contre la publicité ";"226";"https://media.radiofrance-podcast.net/podcast09/18834-26.03.2019-ITEMA_22018561-0.mp3"
"2019-04-02";"Journée internationale du livre pour enfants ";"223";"https://media.radiofrance-podcast.net/podcast09/18153-02.04.2019-ITEMA_22024950-1.mp3"
"2019-04-09";"Journée Internationale des Roms ";"204";"https://media.radiofrance-podcast.net/podcast09/18834-09.04.2019-ITEMA_22031083-0.mp3"
"2019-04-16";"Journée mondiale de la voix ";"213";"https://media.radiofrance-podcast.net/podcast09/15275-16.04.2019-ITEMA_22037168-10.mp3"
"2019-04-22";"La chronique de Constance du lundi 22 avril 2019";"187";"https://media.radiofrance-podcast.net/podcast09/15275-22.04.2019-ITEMA_22042114-7.mp3"
"2019-04-30";"Journée de la non-violence éducative et du jazz";"160";"https://media.radiofrance-podcast.net/podcast09/15275-30.04.2019-ITEMA_22049076-8.mp3"
"2019-05-07";"Journée mondiale du rire  ";"131";"https://media.radiofrance-podcast.net/podcast09/18153-07.05.2019-ITEMA_22055154-1.mp3"
"2019-05-14";"Journée mondiale du bien vivre ensemble ";"159";"https://media.radiofrance-podcast.net/podcast09/18834-14.05.2019-ITEMA_22061241-0.mp3"
"2019-05-21";"'les Maux, L'Art'";"201";"https://media.radiofrance-podcast.net/podcast09/18153-21.05.2019-ITEMA_22067406-1.mp3"
"2019-05-28";"Journée mondiale des règles, des ragnagnas, des ragnouflettes";"182";"https://media.radiofrance-podcast.net/podcast09/15275-28.05.2019-ITEMA_22073439-10.mp3"
"2019-06-04";"Redécouvrez le pouvoir de votre corps";"199";"https://media.radiofrance-podcast.net/podcast09/15275-04.06.2019-ITEMA_22079392-9.mp3"
"2019-06-11";"La journée mondiale contre le travail des enfants par Annabelle";"192";"https://media.radiofrance-podcast.net/podcast09/18834-11.06.2019-ITEMA_22085295-0.mp3"
"2019-06-25";"Insulter son enfant";"202";"https://media.radiofrance-podcast.net/podcast09/18153-25.06.2019-ITEMA_22097352-1.mp3"
