"date";"title";"duration";"file_url"
"2020-10-05";"Séparatisme, précarité et Koh-Lanta";"284";"https://media.radiofrance-podcast.net/podcast09/21776-05.10.2020-ITEMA_22446531-2020F41849S0279-1779455909.mp3"
"2020-10-15";"Couvre-feu, Dom-Tom et perquisitions";"352";"https://media.radiofrance-podcast.net/podcast09/21776-15.10.2020-ITEMA_22456183-2020F41849S0289.mp3"
"2020-10-30";"L’actu ne m’inspire plus";"267";"https://media.radiofrance-podcast.net/podcast09/21776-30.10.2020-ITEMA_22469449-2020F41849S0304.mp3"
"2020-11-06";"Je reviens de Wuhan";"235";"https://media.radiofrance-podcast.net/podcast09/15275-06.11.2020-ITEMA_22476049-2020F41849S0311.mp3"
"2020-11-16";"Je suis cobaye pour le vaccin";"287";"https://media.radiofrance-podcast.net/podcast09/15275-16.11.2020-ITEMA_22485256-2020F41849S0321.mp3"
"2020-11-27";"Police et stratagème du cornichon";"318";"https://media.radiofrance-podcast.net/podcast09/21776-27.11.2020-ITEMA_22497600-2020F41849S0332.mp3"
"2020-12-10";"Ma dernière chronique";"320";"https://media.radiofrance-podcast.net/podcast09/21776-10.12.2020-ITEMA_22510169-2020F41849S0345.mp3"
"2020-12-28";"Séparatisme, précarité et Koh-Lanta ";"266";"https://media.radiofrance-podcast.net/podcast09/15275-28.12.2020-ITEMA_22525840-2020F41849S0363.mp3"
"2021-01-18";"2021, le grand frère de 2020";"238";"https://media.radiofrance-podcast.net/podcast09/13942-18.01.2021-ITEMA_22545533-2021F41849S0018.mp3"
"2021-01-25";"Procureurs, doudounes et pingouins ";"250";"https://media.radiofrance-podcast.net/podcast09/15275-25.01.2021-ITEMA_22552995-2021F41849S0025.mp3"
"2021-02-05";"Labos, pauvreté et féminisme ";"221";"https://media.radiofrance-podcast.net/podcast09/21776-05.02.2021-ITEMA_22565130-2021F41849S0036.mp3"
"2021-02-26";"Je suis cobaye pour le vaccin ";"296";"https://media.radiofrance-podcast.net/podcast09/21776-26.02.2021-ITEMA_22586573-2021F41849S0057.mp3"
"2021-03-08";"La journée internationale des balles perdues ";"278";"https://media.radiofrance-podcast.net/podcast09/18153-08.03.2021-ITEMA_22596019-2021F41849S0067.mp3"
"2021-03-19";"Je suis Corinne";"226";"https://media.radiofrance-podcast.net/podcast09/15275-19.03.2021-ITEMA_22608542-2021F41849S0078.mp3"
"2021-04-02";"Gestion du Covid en non-mixité ";"222";"https://media.radiofrance-podcast.net/podcast09/21776-02.04.2021-ITEMA_22623728-2021F41849S0092.mp3"
"2021-05-03";"Guerre civile is coming ! ";"238";"https://media.radiofrance-podcast.net/podcast09/21776-03.05.2021-ITEMA_22654866-2021F41849S0123.mp3"
"2021-05-14";"Labos, pauvreté et féminisme";"225";"https://media.radiofrance-podcast.net/podcast09/15275-14.05.2021-ITEMA_22662041-2021F41849S0134.mp3"
"2021-05-31";"Un bon mois de Mairde";"261";"https://media.radiofrance-podcast.net/podcast09/21776-31.05.2021-ITEMA_22685330-2021F41849S0151.mp3"
"2021-06-14";"Le tuto gifle";"253";"https://media.radiofrance-podcast.net/podcast09/15275-14.06.2021-ITEMA_22698995-2021F41849S0165.mp3"
"2021-06-28";"Dernier clash avant les vacances ";"271";"https://media.radiofrance-podcast.net/podcast09/13942-28.06.2021-ITEMA_22713725-2021F41849S0179.mp3"
"2021-07-02";"Octobre 2021";"130";"https://media.radiofrance-podcast.net/podcast09/18153-02.07.2021-ITEMA_22717683-2021F41849S0183.mp3"
"2021-09-03";"Annulez la rentrée";"314";"https://media.radiofrance-podcast.net/podcast09/18153-03.09.2021-ITEMA_22762238-2021F41849S0246.mp3"
"2021-09-13";"Zemmour, Buzyn et chirurgie";"273";"https://media.radiofrance-podcast.net/podcast09/15275-13.09.2021-ITEMA_22772423-2021F41849S0256-22.mp3"
"2021-09-27";"208 jours avant la présidentielle";"268";"https://media.radiofrance-podcast.net/podcast09/15275-27.09.2021-ITEMA_22787451-2021F41849S0270-22.mp3"
"2021-10-11";"Ce dont on ne parle pas ";"293";"https://media.radiofrance-podcast.net/podcast09/15275-11.10.2021-ITEMA_22802529-2021F41849S0284-22.mp3"
"2021-10-25";"Le tuto gifle";"219";"https://media.radiofrance-podcast.net/podcast09/15275-25.10.2021-ITEMA_22817609-2021F41849S0298-22.mp3"
"2021-11-01";"La chronique de Waly Dia du lundi 01 novembre 2021";"223";"https://media.radiofrance-podcast.net/podcast09/13942-01.11.2021-ITEMA_22824494-2021F41849S0305-22.mp3"
"2021-11-15";"Vivement le reconfinement! ";"218";"https://media.radiofrance-podcast.net/podcast09/18153-15.11.2021-ITEMA_22839008-2021F41849S0319-22.mp3"
