"date";"title";"duration";"file_url"
"2015-01-06";"Pierre-Emmanuel Barré";"202";"https://cdn.radiofrance.fr/s3/cruiser-production/static/inter/sons/2015/01/s02/net-fi-88cdc585-6096-46bd-8170-5fe6c41b305b.mp3"
"2015-01-13";"Pierre-Emmanuel Barré : 'Le mort kilomètre'";"";""
"2015-01-20";"'S'il fallait être courageux pour être français, ça fait longtemps qu'on m'aurait reconduit à la frontière'...";"219";"https://cdn.radiofrance.fr/s3/cruiser-production/static/inter/sons/2015/01/s04/net-fi-5017edc2-450b-44b9-b240-b0e64100187b.mp3"
"2015-01-27";"Davos, what else?";"227";"https://cdn.radiofrance.fr/s3/cruiser-production/static/inter/sons/2015/01/s05/net-fi-d539654e-14f2-4fe6-ac49-0c95eabe8032.mp3"
"2015-02-03";"'Si on retire la nationalité à tous les gens qui nuisent à la France, on va finir avec un gouvernement de sans-papiers'";"196";"https://cdn.radiofrance.fr/s3/cruiser-production/static/inter/sons/2015/02/s06/net-fi-acb775ff-905b-4ace-9faf-958da46038de.mp3"
"2015-02-10";"L'évasion fiscale, c'est super !";"175";"https://cdn.radiofrance.fr/s3/cruiser-production/static/inter/sons/2015/02/s07/net-fi-d0df6ec7-c94b-42a8-86cf-5adc02fa9d5c.mp3"
"2015-02-17";"La délation, c'est super !";"198";"https://cdn.radiofrance.fr/s3/cruiser-production/static/inter/sons/0000/14212-17.02.2015-ITEMA_20724533-0.mp3"
"2015-02-24";"Les filles, c'est super !";"196";"https://cdn.radiofrance.fr/s3/cruiser-production/static/inter/sons/2015/02/s09/net-fi-eac64b73-7c07-46b3-bb36-ad136efdbdc8.mp3"
"2015-03-03";"L'eau c'est super !";"192";"https://cdn.radiofrance.fr/s3/cruiser-production/static/inter/sons/2015/03/s10/net-fi-f015198a-2019-4e5c-9f35-2f403b51b8e5.mp3"
"2015-03-17";"La Saint-Patrick, c'est super !";"184";"https://cdn.radiofrance.fr/s3/cruiser-production/static/inter/sons/2015/03/s12/net-fi-e3b2241a-5395-43f6-90b1-7451b2706240.mp3"
