"date";"title";"duration";"file_url"
"2022-06-28";"Boson de Higgs : 10 ans qui pèsent !";3495;"https://media.radiofrance-podcast.net/podcast09/23118-28.06.2022-ITEMA_23073258-2022C26360S0179-21.mp3"
"2022-06-27";"Faune urbaine : du goudron et des plumes";3508;"https://media.radiofrance-podcast.net/podcast09/14312-27.06.2022-ITEMA_23072058-2022C26360S0178-21.mp3"
"2022-06-24";"Actu de l'année, cosmos lointain, océan sur Mars et ptérosaures";3496;"https://media.radiofrance-podcast.net/podcast09/14312-24.06.2022-ITEMA_23069685-2022C26360S0175-21.mp3"
"2022-06-23";"Yves Coppens : comment sommes-nous devenus humains ?";3508;"https://media.radiofrance-podcast.net/podcast09/23118-23.06.2022-ITEMA_23068409-2022C26360E0011-21.mp3"
"2022-06-22";"Futur Circular Collider : le seigneur des anneaux";3503;"https://media.radiofrance-podcast.net/podcast09/23118-22.06.2022-ITEMA_23067121-2022C26360S0173-21.mp3"
"2022-06-21";"Artemis : on va remarcher sur la Lune";3630;"https://media.radiofrance-podcast.net/podcast09/14312-21.06.2022-ITEMA_23065822-2022C26360S0172-21.mp3"
"2022-06-20";"Système nerveux : de l'autre côté du périphérique";3501;"https://media.radiofrance-podcast.net/podcast09/23118-20.06.2022-ITEMA_23064493-2022C26360S0171-21.mp3"
"2022-06-17";"Grand entretien avec Rivers Solomon";3576;"https://media.radiofrance-podcast.net/podcast09/23118-17.06.2022-ITEMA_23062103-2022C26360E0007-21.mp3"
"2022-06-16";"Antoine Balzeau : dessine-moi un humain";3500;"https://media.radiofrance-podcast.net/podcast09/23118-16.06.2022-ITEMA_23060836-2022C26360S0167-21.mp3"
"2022-06-15";"Low-Tech : demain c'est moins";3512;"https://media.radiofrance-podcast.net/podcast09/23118-15.06.2022-ITEMA_23059653-2022C26360S0166-21.mp3"
"2022-06-14";"Lady Gaïa : une étoile est née";3503;"https://media.radiofrance-podcast.net/podcast09/23118-14.06.2022-ITEMA_23058461-2022C26360S0165-21.mp3"
"2022-06-13";"La variole du singe : faut-il craindre une épidémie ?";3508;"https://media.radiofrance-podcast.net/podcast09/23118-13.06.2022-ITEMA_23057140-2022C26360S0164-21.mp3"
"2022-06-10";"Ma Thèse en 180 secondes, influence de la Lune, futur de l'alimentation et ingénierie cellulaire";3488;"https://media.radiofrance-podcast.net/podcast09/14312-10.06.2022-ITEMA_23054690-2022C26360S0161-21.mp3"
"2022-06-09";"Mathématiques électorales : le compte n'est pas bon";3485;"https://media.radiofrance-podcast.net/podcast09/23118-09.06.2022-ITEMA_23053441-2022C26360S0160-21.mp3"
"2022-06-08";"Jet stream : il fait la pluie et le beau temps ?";3504;"https://media.radiofrance-podcast.net/podcast09/23118-08.06.2022-ITEMA_23052255-2022C26360S0159-21.mp3"
"2022-06-07";"Show Musk go on ?";3572;"https://media.radiofrance-podcast.net/podcast09/23118-07.06.2022-ITEMA_23050987-2022C26360S0158-21.mp3"
"2022-06-06";"L’abeille rôde";3496;"https://media.radiofrance-podcast.net/podcast09/23118-06.06.2022-ITEMA_23049790-2022C26360S0157-21.mp3"
"2022-06-03";"Le futur commence aujourd’hui";3497;"https://media.radiofrance-podcast.net/podcast09/14312-03.06.2022-ITEMA_23047366-2022C26360S0154-21.mp3"
"2022-06-02";"Grand entretien avec Isabelle Stengers";3502;"https://media.radiofrance-podcast.net/podcast09/23118-02.06.2022-ITEMA_23046061-2022C26360S0153-21.mp3"
"2022-06-01";"Recyclage : on prend les mêmes et on recommence";3512;"https://media.radiofrance-podcast.net/podcast09/14312-01.06.2022-ITEMA_23044803-2022C26360S0152-21.mp3"
"2022-05-31";"Agriculture spatiale : les salades de l'espace ";3651;"https://media.radiofrance-podcast.net/podcast09/14312-31.05.2022-ITEMA_23043623-2022C26360S0151-21.mp3"
"2022-05-30";"Tabac : l’écran de fumée";3546;"https://media.radiofrance-podcast.net/podcast09/14312-30.05.2022-ITEMA_23042367-2022C26360S0150-21.mp3"
"2022-05-27";"Variole du singe, Artémis, symbiose et extra-terrestres...";3541;"https://media.radiofrance-podcast.net/podcast09/14312-27.05.2022-ITEMA_23040009-2022C26360S0147-21.mp3"
"2022-05-26";"Genre et santé : où sont les femmes ?";3535;"https://media.radiofrance-podcast.net/podcast09/23118-26.05.2022-ITEMA_23038785-2022C26360S0146-21.mp3"
"2022-05-25";"Limites planétaires : on dépasse les bornes !";3505;"https://media.radiofrance-podcast.net/podcast09/23118-25.05.2022-ITEMA_23037575-2022C26360S0145-21.mp3"
"2022-05-24";"Astérosismologie : attention les secousses !	";3531;"https://media.radiofrance-podcast.net/podcast09/23118-24.05.2022-ITEMA_23036374-2022C26360S0144-21.mp3"
"2022-05-23";"Maladie de Charcot : la plus fréquente des maladies rares";3498;"https://media.radiofrance-podcast.net/podcast09/23118-23.05.2022-ITEMA_23035106-2022C26360S0143-21.mp3"
"2022-05-20";"Nicholas Meyer, l'homme qui a tué Spock";3534;"https://media.radiofrance-podcast.net/podcast09/14312-20.05.2022-ITEMA_23032638-2022C26360E0006-21.mp3"
"2022-05-19";"Textiles archéologiques : on rembobine !";3523;"https://media.radiofrance-podcast.net/podcast09/14312-19.05.2022-ITEMA_23031393-2022C26360S0139-21.mp3"
