"date";"title";"duration";"file_url"
"2023-01-26";"Quand je me lèche le doigt - Alexandre Kominek n'a pas compris";234;"https://media.radiofrance-podcast.net/podcast09/22458-26.01.2023-ITEMA_23268733-2023F45056S0026-22.mp3"
"2023-01-24";"50 ans de carrière et pas un seul doss - Alexandre Kominek n'a pas compris";196;"https://media.radiofrance-podcast.net/podcast09/22458-24.01.2023-ITEMA_23266285-2023F45056S0024-22.mp3"
"2023-01-19";"La délicatesse c'est mon truc - Alexandre Kominek n'a pas compris";226;"https://media.radiofrance-podcast.net/podcast09/22458-19.01.2023-ITEMA_23261430-2023F45056S0019-22.mp3"
"2023-01-17";"La Guerre des Momos - Alexandre Kominek n'a pas compris";197;"https://media.radiofrance-podcast.net/podcast09/22458-17.01.2023-ITEMA_23258992-2023F45056S0017-22.mp3"
"2023-01-16";"Chopin gramme - Alexandre Kominek n'a pas compris";221;"https://media.radiofrance-podcast.net/podcast09/22458-16.01.2023-ITEMA_23258223-2023F45056S0016-22.mp3"
"2023-01-12";"Je suis gras - Alexandre Kominek n'a pas compris";327;"https://media.radiofrance-podcast.net/podcast09/22458-12.01.2023-ITEMA_23254114-2023F45056S0012-22.mp3"
"2023-01-10";"Les vieilles amitiés - Alexandre Kominek n'a pas compris";216;"https://media.radiofrance-podcast.net/podcast09/22458-10.01.2023-ITEMA_23251602-2023F45056S0010-22.mp3"
"2022-12-16";"L’amour des animaux";266;"https://media.radiofrance-podcast.net/podcast09/22458-16.12.2022-ITEMA_23229510-2022F45056S0350-22.mp3"
"2022-12-15";"Fumez de la drogue - Alexandre Kominek n'a pas compris";205;"https://media.radiofrance-podcast.net/podcast09/22458-15.12.2022-ITEMA_23228248-2022F45056S0349-22.mp3"
"2022-12-13";"L'American Dream - Alexandre Kominek n'a pas compris";218;"https://media.radiofrance-podcast.net/podcast09/22458-13.12.2022-ITEMA_23225719-2022F45056S0347-22.mp3"
"2022-11-24";"France inter ou réunion de l’OPEP ? - Alexandre Kominek n'a pas compris";256;"https://media.radiofrance-podcast.net/podcast09/15275-24.11.2022-ITEMA_23206492-2022F45056S0328-22.mp3"
"2022-11-22";"Victime d'accident - Alexandre Kominek n'a pas compris";194;"https://media.radiofrance-podcast.net/podcast09/22458-22.11.2022-ITEMA_23204090-2022F45056S0326-22.mp3"
"2022-11-10";"Arrêtez de nous prendre pour des cons - Alexandre Kominek n'a pas compris";223;"https://media.radiofrance-podcast.net/podcast09/15275-10.11.2022-ITEMA_23191985-2022F45056S0314-22.mp3"
"2022-11-08";"Plus de bobos que de boubous  - Alexandre Kominek n'a pas compris";194;"https://media.radiofrance-podcast.net/podcast09/15275-08.11.2022-ITEMA_23189517-2022F45056S0312-22.mp3"
"2022-11-01";" Lemmings et terrorisme - Alexandre Kominek n'a pas compris";287;"https://media.radiofrance-podcast.net/podcast09/15275-01.11.2022-ITEMA_23182913-2022F45056S0305-22.mp3"
"2022-10-26";"Gigolo & Julio Iglesias";230;"https://media.radiofrance-podcast.net/podcast09/22458-26.10.2022-ITEMA_23178296-2022F45056S0299-22.mp3"
"2022-10-25";"Alejandro Kominez - Alexandre Kominek n'a pas compris";218;"https://media.radiofrance-podcast.net/podcast09/15275-25.10.2022-ITEMA_23176761-2022F45056S0298-22.mp3"
"2022-10-20";"Le banditisme n’a pas de couleur - Alexandre Kominek n'a pas compris";187;"https://media.radiofrance-podcast.net/podcast09/15275-20.10.2022-ITEMA_23172171-2022F45056S0293-22.mp3"
"2022-10-18";"Prof is the new PQ - Alexandre Kominek n'a pas compris";183;"https://media.radiofrance-podcast.net/podcast09/22458-18.10.2022-ITEMA_23169681-2022F45056S0291-22.mp3"
"2022-10-06";"Les Gros sont passés devant les Juifs - Alexandre Kominek n'a pas compris";249;"https://media.radiofrance-podcast.net/podcast09/15275-06.10.2022-ITEMA_23157480-2022F45056S0279-22.mp3"
"2022-10-04";"J'avais fait le casting - Alexandre Kominek n'a pas compris";209;"https://media.radiofrance-podcast.net/podcast09/15275-04.10.2022-ITEMA_23154995-2022F45056S0277-22.mp3"
"2022-09-29";"Mecs mystérieux et Stranger Bled - Alexandre Kominek n'a pas compris";264;"https://media.radiofrance-podcast.net/podcast09/22458-29.09.2022-ITEMA_23150069-2022F45056S0272-22.mp3"
"2022-09-27";"Vacances et mecs à cheveux longs - Alexandre Kominek n'a pas compris";218;"https://media.radiofrance-podcast.net/podcast09/22458-27.09.2022-ITEMA_23147582-2022F45056S0270-22.mp3"
"2022-09-22";"Violences, ananas et fleuret - Alexandre Kominek n'a pas compris";241;"https://media.radiofrance-podcast.net/podcast09/22458-22.09.2022-ITEMA_23142641-2022F45056S0265-22.mp3"
"2022-09-20";"Les belles-mères - Alexandre Kominek n'a pas compris";232;"https://media.radiofrance-podcast.net/podcast09/15275-20.09.2022-ITEMA_23140068-2022F45056S0263-22.mp3"
"2022-09-15";"Virginité et boîtes de jour - Alexandre Kominek n'a pas compris";267;"https://media.radiofrance-podcast.net/podcast09/15275-15.09.2022-ITEMA_23135040-2022F45056S0258-22.mp3"
