"date";"title";"duration";"file_url"
"2023-04-24";"Franchise et macronisme";NA;"https://media.radiofrance-podcast.net/podcast09/14257-24.04.2023-ITEMA_23357596-2023F23173S0079-22.mp3"
"2023-04-18";"L'allocution d'Emmanuel Macron";NA;"https://media.radiofrance-podcast.net/podcast09/14257-18.04.2023-ITEMA_23352135-2023F23173S0108-22.mp3"
"2023-04-17";"Les Français sont-ils trop gâtés comme l'affirme Jacques Séguéla ? ";NA;"https://media.radiofrance-podcast.net/podcast09/14257-17.04.2023-ITEMA_23351023-2023F23173S0107-22.mp3"
"2023-04-11";"Le communisme de droite";NA;"https://media.radiofrance-podcast.net/podcast09/14257-11.04.2023-ITEMA_23345214-2023F23173S0101-22.mp3"
"2023-04-10";"Fin de vie et début de mort : Guillaume interroge les Français sur l'euthanasie";NA;"https://media.radiofrance-podcast.net/podcast09/14257-10.04.2023-ITEMA_23344117-2023F23173S0100-22.mp3"
"2023-04-04";"L'anti-terrorisme intellectuel";NA;"https://media.radiofrance-podcast.net/podcast09/14257-04.04.2023-ITEMA_23338185-2023F23173S0094-22.mp3"
"2023-04-03";"Talking about démocratie";NA;"https://media.radiofrance-podcast.net/podcast09/14257-03.04.2023-ITEMA_23336874-2023F23173S0093-22.mp3"
"2023-03-27";"L'heure des braves-M";NA;"https://media.radiofrance-podcast.net/podcast09/14257-27.03.2023-ITEMA_23329634-2023F23173S0086-22.mp3"
"2023-03-21";"L'Assemblée nationale sous tension";NA;"https://media.radiofrance-podcast.net/podcast09/14257-21.03.2023-ITEMA_23323595-2023F23173S0080-22.mp3"
"2023-03-20";"Franchise et macronisme";NA;"https://media.radiofrance-podcast.net/podcast09/14257-24.04.2023-ITEMA_23357596-2023F23173S0079-22.mp3"
"2023-03-14";"Obéissez jeunesse !";300;"https://media.radiofrance-podcast.net/podcast09/14257-14.03.2023-ITEMA_23316186-2023F23173S0073-22.mp3"
"2023-03-13";"La grève des éboueurs";278;"https://media.radiofrance-podcast.net/podcast09/14257-13.03.2023-ITEMA_23314863-2023F23173S0072-22.mp3"
"2023-03-06";"La retraite des sénateurs";266;"https://media.radiofrance-podcast.net/podcast09/14257-06.03.2023-ITEMA_23307603-2023F23173S0065-22.mp3"
