"date";"title";"duration";"file_url"
"2022-10-26";"Le foot comme lobotomie";293;"https://media.radiofrance-podcast.net/podcast09/13939-26.10.2022-ITEMA_23177733-2022F29767S0299-22.mp3"
"2022-10-25";"Je n'ai rien contre Jean-Marc Morandini, mais…";317;"https://media.radiofrance-podcast.net/podcast09/13939-25.10.2022-ITEMA_23176739-2022F29767S0298-22.mp3"
"2022-10-24";"Tanguy Pastureau en tongs";327;"https://media.radiofrance-podcast.net/podcast09/13939-24.10.2022-ITEMA_23175729-2022F29767S0297-22.mp3"
"2022-10-21";"Lio n'est pas seule à l'origine de la pédophilie dans le monde";340;"https://media.radiofrance-podcast.net/podcast09/18141-21.10.2022-ITEMA_23173386-2022F29767S0294-22.mp3"
"2022-10-20";"L'automne n'existe plus, même à Hazebrouck";306;"https://media.radiofrance-podcast.net/podcast09/18141-20.10.2022-ITEMA_23172117-2022F29767S0293-22.mp3"
"2022-10-19";"Bill Murray est un con (et c'est triste)";317;"https://media.radiofrance-podcast.net/podcast09/15275-19.10.2022-ITEMA_23170916-2022F29767S0292-22.mp3"
"2022-10-18";"Polanski, si beau, si désirable, et donc si innocent";328;"https://media.radiofrance-podcast.net/podcast09/13939-18.10.2022-ITEMA_23169639-2022F29767S0291-22.mp3"
"2022-10-17";"La soupe, nouveau mode de contestation";324;"https://media.radiofrance-podcast.net/podcast09/13939-17.10.2022-ITEMA_23168354-2022F29767S0290-22.mp3"
"2022-10-14";"Aimer le PSG, c'est moins bien vu que de gifler un enfant";305;"https://media.radiofrance-podcast.net/podcast09/13939-14.10.2022-ITEMA_23165997-2022F29767S0287-22.mp3"
"2022-10-13";"Méfiez-vous des poules";294;"https://media.radiofrance-podcast.net/podcast09/15275-13.10.2022-ITEMA_23164767-2022F29767S0286-22.mp3"
"2022-10-12";"Bruno Le Maire en cuir à col roulé";328;"https://media.radiofrance-podcast.net/podcast09/13939-12.10.2022-ITEMA_23163519-2022F29767S0285-22.mp3"
"2022-10-11";"La France sans essence";299;"https://media.radiofrance-podcast.net/podcast09/13939-11.10.2022-ITEMA_23162317-2022F29767S0284-22.mp3"
"2022-10-10";"Les arabes n'existent pas";314;"https://media.radiofrance-podcast.net/podcast09/15275-10.10.2022-ITEMA_23161075-2022F29767S0283-22.mp3"
"2022-10-07";"Pleurer en écoutant Bella Ciao en persan";285;"https://media.radiofrance-podcast.net/podcast09/18141-07.10.2022-ITEMA_23158682-2022F29767S0280-22.mp3"
"2022-10-06";"Marilyn et le fœtus qui parle";282;"https://media.radiofrance-podcast.net/podcast09/13939-06.10.2022-ITEMA_23157463-2022F29767S0279-22.mp3"
"2022-10-05";"Plus de pénis que de visages sur internet";311;"https://media.radiofrance-podcast.net/podcast09/15275-05.10.2022-ITEMA_23156204-2022F29767S0278-22.mp3"
"2022-10-04";"Se faire enterrer sur du Patrick Sébastien";317;"https://media.radiofrance-podcast.net/podcast09/18141-04.10.2022-ITEMA_23154941-2022F29767S0277-22.mp3"
"2022-10-03";"Pull, doudoune et étendoir : nous sommes sauvés !";305;"https://media.radiofrance-podcast.net/podcast09/13939-03.10.2022-ITEMA_23153605-2022F29767S0276-22.mp3"
"2022-09-30";"Les hackers russes sont des cons";334;"https://media.radiofrance-podcast.net/podcast09/18141-30.09.2022-ITEMA_23151222-2022F29767S0273-22.mp3"
"2022-09-29";"Les robots ne savent pas rire";302;"https://media.radiofrance-podcast.net/podcast09/18141-29.09.2022-ITEMA_23149995-2022F29767S0272-22.mp3"
"2022-09-28";"Les fans sont des gens inquiétants";326;"https://media.radiofrance-podcast.net/podcast09/18141-28.09.2022-ITEMA_23148817-2022F29767S0271-22.mp3"
"2022-09-27";"J'ai échoué à racheter M6";350;"https://media.radiofrance-podcast.net/podcast09/15275-27.09.2022-ITEMA_23147561-2022F29767S0270-22.mp3"
"2022-09-26";"La petite sirène est noire";298;"https://media.radiofrance-podcast.net/podcast09/15275-26.09.2022-ITEMA_23146301-2022F29767S0269-22.mp3"
"2022-09-23";"On est tous cousins";332;"https://media.radiofrance-podcast.net/podcast09/18141-23.09.2022-ITEMA_23143853-2022F29767S0266-22.mp3"
"2022-09-22";"J'ai un hater";302;"https://media.radiofrance-podcast.net/podcast09/13939-22.09.2022-ITEMA_23142602-2022F29767S0265-22.mp3"
"2022-09-21";"Violences conjugales : on s'en moque, du contexte";319;"https://media.radiofrance-podcast.net/podcast09/15275-21.09.2022-ITEMA_23141406-2022F29767S0264-22.mp3"
"2022-09-20";"La reine ou moi, choisis ton camp, France Inter !";311;"https://media.radiofrance-podcast.net/podcast09/18141-20.09.2022-ITEMA_23140012-2022F29767S0263-22.mp3"
"2022-09-16";"DiCaprio est allergique aux filles de plus de 25 ans";325;"https://media.radiofrance-podcast.net/podcast09/15275-16.09.2022-ITEMA_23136364-2022F29767S0259-22.mp3"
"2022-09-15";"Stop aux messages vocaux (sauf si vous êtes Gérard Darmon)";314;"https://media.radiofrance-podcast.net/podcast09/18141-15.09.2022-ITEMA_23134988-2022F29767S0258-22.mp3"
"2022-09-14";"Comme un souci avec le bouddhisme";322;"https://media.radiofrance-podcast.net/podcast09/15275-14.09.2022-ITEMA_23133785-2022F29767S0257-22.mp3"
"2022-09-13";"J'ai regardé l'enquête sur les influenceurs";325;"https://media.radiofrance-podcast.net/podcast09/18141-13.09.2022-ITEMA_23132429-2022F29767S0256-22.mp3"
"2022-09-12";"Un week-end avec la famille royale";312;"https://media.radiofrance-podcast.net/podcast09/15275-12.09.2022-ITEMA_23131139-2022F29767S0255-22.mp3"
"2022-09-09";"J'ai imaginé la société de la sobriété";322;"https://media.radiofrance-podcast.net/podcast09/15275-09.09.2022-ITEMA_23128839-2022F29767S0252-22.mp3"
"2022-09-08";"Trop de fuck dans nos vies et sur nos T-shirts";314;"https://media.radiofrance-podcast.net/podcast09/18141-08.09.2022-ITEMA_23127497-2022F29767S0251-22.mp3"
"2022-09-07";"Je n'ai plus les chaines du groupe TF1";298;"https://media.radiofrance-podcast.net/podcast09/18141-07.09.2022-ITEMA_23126197-2022F29767S0250-22.mp3"
"2022-09-06";"Le PSG dans le train pour Nantes";329;"https://media.radiofrance-podcast.net/podcast09/13939-06.09.2022-ITEMA_23124953-2022F29767S0249-22.mp3"
"2022-09-05";"La fusée de la NASA est moins fiable qu'une Opel d'occasion";297;"https://media.radiofrance-podcast.net/podcast09/18141-05.09.2022-ITEMA_23123560-2022F29767S0248-22.mp3"
"2022-09-02";"Bernard Arnault vit dans le ciel";316;"https://media.radiofrance-podcast.net/podcast09/13939-02.09.2022-ITEMA_23121255-2022F29767S0245-22.mp3"
"2022-09-01";"Les gosses sont enfin à l'école";309;"https://media.radiofrance-podcast.net/podcast09/13939-01.09.2022-ITEMA_23119891-2022F29767S0244-22.mp3"
"2022-08-31";"J'ai essayé de comprendre l'affaire Pogba";350;"https://media.radiofrance-podcast.net/podcast09/18141-31.08.2022-ITEMA_23118580-2022F29767S0243-22.mp3"
"2022-08-30";"Le barbecue, un truc de mecs";309;"https://media.radiofrance-podcast.net/podcast09/18141-30.08.2022-ITEMA_23117182-2022F29767S0242-22.mp3"
